Reference	ID	Tags	OrigWords	Occurrence	TWLink
13:19	uugd		הַ⁠שְּׁעָרִ֔ים	1	rc://*/tw/dict/bible/other/gate
13:19	cndx		מַשָּׂ֖א	1	rc://*/tw/dict/bible/other/burden
13:19	f7gc	keyterm	הַ⁠שַּׁבָּֽת	1	rc://*/tw/dict/bible/kt/sabbath
13:20	dt7t	name	לִ⁠ירוּשָׁלִָ֖ם	1	rc://*/tw/dict/bible/names/jerusalem
13:21	z3rh	keyterm	וָ⁠אָעִ֣ידָ⁠ה	1	rc://*/tw/dict/bible/kt/testimony
13:21	q6x6		יָ֖ד	1	rc://*/tw/dict/bible/other/hand
13:21	wqxc		הָ⁠עֵ֣ת	1	rc://*/tw/dict/bible/other/time
13:21	y9vn	keyterm	בַּ⁠שַּׁבָּֽת	1	rc://*/tw/dict/bible/kt/sabbath
13:22	k7aq	name	לַ⁠לְוִיִּ֗ם	1	rc://*/tw/dict/bible/names/levite
13:22	wz4p	keyterm	מִֽטַּהֲרִים֙	1	rc://*/tw/dict/bible/kt/purify
13:22	f34f		שֹׁמְרִ֣ים	1	rc://*/tw/dict/bible/other/watch
13:22	dr6t		הַ⁠שְּׁעָרִ֔ים	1	rc://*/tw/dict/bible/other/gate
13:22	rr6j	keyterm	לְ⁠קַדֵּ֖שׁ	1	rc://*/tw/dict/bible/kt/consecrate
13:22	snn4	keyterm	הַ⁠שַּׁבָּ֑ת	1	rc://*/tw/dict/bible/kt/sabbath
13:22	qhz8	keyterm	אֱלֹהַ֔⁠י	1	rc://*/tw/dict/bible/kt/god
13:22	snsc	keyterm	חַסְדֶּֽ⁠ךָ	1	rc://*/tw/dict/bible/kt/covenantfaith
13:23	gva7	keyterm	הַ⁠יְּהוּדִים֙	1	rc://*/tw/dict/bible/kt/jew
13:23	npjp	name	אשדודיות	1	rc://*/tw/dict/bible/names/ashdod
13:23	bk84	name	עמוניות	1	rc://*/tw/dict/bible/names/ammon
13:23	kurj	name	מוֹאֲבִיּֽוֹת	1	rc://*/tw/dict/bible/names/moab
13:24	havh	keyterm	וּ⁠בְנֵי⁠הֶ֗ם	1	rc://*/tw/dict/bible/kt/son
13:24	vedd	name	אַשְׁדּוֹדִ֔ית	1	rc://*/tw/dict/bible/names/ashdod
13:24	aqq6	keyterm	יְהוּדִ֑ית	1	rc://*/tw/dict/bible/kt/hebrew
13:24	qqb8		וְ⁠כִ⁠לְשׁ֖וֹן	1	rc://*/tw/dict/bible/other/tongue
13:24	y64g		עַ֥ם	1	rc://*/tw/dict/bible/other/peoplegroup
13:24	j64h		וָ⁠עָֽם	1	rc://*/tw/dict/bible/other/peoplegroup
13:25	f29j	keyterm	וָ⁠אֲקַֽלְלֵ֔⁠ם	1	rc://*/tw/dict/bible/kt/curse
13:25	h92n		וָ⁠אַשְׁבִּיעֵ֣⁠ם	1	rc://*/tw/dict/bible/other/oath
13:25	n3y5	keyterm	בֵּֽ⁠אלֹהִ֗ים	1	rc://*/tw/dict/bible/kt/god
