Reference	ID	Tags	OrigWords	Occurrence	TWLink
3:7	u6ne	keyterm	διακονία	1	rc://*/tw/dict/bible/kt/minister
3:7	jjjw		θανάτου	1	rc://*/tw/dict/bible/other/death
3:7	vab7	keyterm	δόξῃ	1	rc://*/tw/dict/bible/kt/glory
3:7	w45b	keyterm	υἱοὺς	1	rc://*/tw/dict/bible/kt/son
3:7	mjhv	keyterm	Ἰσραὴλ	1	rc://*/tw/dict/bible/kt/israel
3:7	ecpf		πρόσωπον	1	rc://*/tw/dict/bible/other/face
3:7	f5dy	name	Μωϋσέως	1	rc://*/tw/dict/bible/names/moses
3:7	mxz3	keyterm	δόξαν	1	rc://*/tw/dict/bible/kt/glory
3:7	juv8		προσώπου	1	rc://*/tw/dict/bible/other/face
3:8	mr32	keyterm	διακονία	1	rc://*/tw/dict/bible/kt/minister
3:8	zmxj	keyterm	Πνεύματος	1	rc://*/tw/dict/bible/kt/holyspirit
3:8	e9eu	keyterm	δόξῃ	1	rc://*/tw/dict/bible/kt/glory
3:9	nn5e	keyterm	διακονίᾳ	1	rc://*/tw/dict/bible/kt/minister
3:9	gaqw	keyterm	κατακρίσεως	1	rc://*/tw/dict/bible/kt/condemn
3:9	qtcp	keyterm	δόξα	1	rc://*/tw/dict/bible/kt/glory
3:9	tb74		περισσεύει	1	rc://*/tw/dict/bible/other/multiply
3:9	x4q8	keyterm	διακονία	1	rc://*/tw/dict/bible/kt/minister
3:9	kzjp	keyterm	δικαιοσύνης	1	rc://*/tw/dict/bible/kt/righteous
3:9	t2qm	keyterm	δόξῃ	1	rc://*/tw/dict/bible/kt/glory
3:10	duey	keyterm	δεδόξασται	1	rc://*/tw/dict/bible/kt/glory
3:10	sm7k	keyterm	δεδοξασμένον	1	rc://*/tw/dict/bible/kt/glory
3:10	tucz	keyterm	δόξης	1	rc://*/tw/dict/bible/kt/glory
3:11	pt9n	keyterm	δόξης	1	rc://*/tw/dict/bible/kt/glory
3:11	nqw7	keyterm	δόξῃ	1	rc://*/tw/dict/bible/kt/glory
3:12	p6z3	keyterm	ἐλπίδα	1	rc://*/tw/dict/bible/kt/hope
3:12	ac9r		παρρησίᾳ	1	rc://*/tw/dict/bible/other/bold
3:13	gk9f		καθάπερ	1	rc://*/tw/dict/bible/other/like
3:13	ataw	name	Μωϋσῆς	1	rc://*/tw/dict/bible/names/moses
3:13	hhrf		κάλυμμα	1	rc://*/tw/dict/bible/other/veil
3:13	e3kj		πρόσωπον	1	rc://*/tw/dict/bible/other/face
3:13	vaq8	keyterm	υἱοὺς	1	rc://*/tw/dict/bible/kt/son
3:13	cs43	keyterm	Ἰσραὴλ	1	rc://*/tw/dict/bible/kt/israel
3:14	b372		ἐπωρώθη	1	rc://*/tw/dict/bible/other/hard
3:14	pvfb		νοήματα	1	rc://*/tw/dict/bible/other/mind
3:14	b8z3		ἡμέρας	1	rc://*/tw/dict/bible/other/biblicaltimeday
3:14	kbr4		κάλυμμα	1	rc://*/tw/dict/bible/other/veil
3:14	pwzr	keyterm	διαθήκης	1	rc://*/tw/dict/bible/kt/covenant
3:14	wb4r	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
3:14	x5mm	keyterm	ἐν Χριστῷ	1	rc://*/tw/dict/bible/kt/inchrist
3:15	yxmc		σήμερον	1	rc://*/tw/dict/bible/other/biblicaltimeday
3:15	bjqe	name	Μωϋσῆς	1	rc://*/tw/dict/bible/names/moses
3:15	z5hf		κάλυμμα	1	rc://*/tw/dict/bible/other/veil
3:15	cstq	keyterm	καρδίαν	1	rc://*/tw/dict/bible/kt/heart
3:16	w44s		ἐπιστρέψῃ	1	rc://*/tw/dict/bible/other/turn
3:16	ge6x	keyterm	Κύριον	1	rc://*/tw/dict/bible/kt/lord
3:16	zc7j		κάλυμμα	1	rc://*/tw/dict/bible/other/veil
3:17	fqxt	keyterm	Κύριος	1	rc://*/tw/dict/bible/kt/lord
3:17	xh3n	keyterm	Πνεῦμά	1	rc://*/tw/dict/bible/kt/holyspirit
3:17	caax	keyterm	Πνεῦμα	1	rc://*/tw/dict/bible/kt/holyspirit
3:17	cfpr	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
3:17	d898		ἐλευθερία	1	rc://*/tw/dict/bible/other/free
3:18	t35a		προσώπῳ	1	rc://*/tw/dict/bible/other/face
3:18	aasr	keyterm	δόξαν	1	rc://*/tw/dict/bible/kt/glory
3:18	vt75	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
3:18	b697		εἰκόνα	1	rc://*/tw/dict/bible/other/image
3:18	pn24	keyterm	δόξης	1	rc://*/tw/dict/bible/kt/glory
3:18	n4aj	keyterm	δόξαν	2	rc://*/tw/dict/bible/kt/glory
3:18	m6hg		καθάπερ	1	rc://*/tw/dict/bible/other/like
3:18	nvuw	keyterm	Κυρίου	2	rc://*/tw/dict/bible/kt/lord
3:18	adfj	keyterm	Πνεύματος	1	rc://*/tw/dict/bible/kt/holyspirit
4:1	ytcp	keyterm	διακονίαν	1	rc://*/tw/dict/bible/kt/minister
4:1	f8tn		καθὼς	1	rc://*/tw/dict/bible/other/like
4:1	zy5y	keyterm	ἠλεήθημεν	1	rc://*/tw/dict/bible/kt/mercy
4:2	y59d		αἰσχύνης	1	rc://*/tw/dict/bible/other/shame
4:2	fmnd		περιπατοῦντες	1	rc://*/tw/dict/bible/other/walk
4:2	hd3w	keyterm	λόγον τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/wordofgod
4:2	ec4e	keyterm	φανερώσει	1	rc://*/tw/dict/bible/kt/reveal
4:2	ztbd	keyterm	ἀληθείας	1	rc://*/tw/dict/bible/kt/true
4:2	r2s3	keyterm	συνείδησιν	1	rc://*/tw/dict/bible/kt/conscience
4:2	d4f6	keyterm	Θεοῦ	2	rc://*/tw/dict/bible/kt/god
4:3	tq2k	keyterm	εὐαγγέλιον	1	rc://*/tw/dict/bible/kt/goodnews
4:3	w5sd	keyterm	ἀπολλυμένοις	1	rc://*/tw/dict/bible/kt/perish
4:4	s85w	keyterm	θεὸς	1	rc://*/tw/dict/bible/kt/god
4:4	kb6y		αἰῶνος	1	rc://*/tw/dict/bible/other/age
4:4	qxug		νοήματα	1	rc://*/tw/dict/bible/other/mind
4:4	d6ab	keyterm	ἀπίστων	1	rc://*/tw/dict/bible/kt/believe
4:4	gz8m		φωτισμὸν	1	rc://*/tw/dict/bible/other/light
4:4	tevn	keyterm	εὐαγγελίου	1	rc://*/tw/dict/bible/kt/goodnews
4:4	p2ew	keyterm	δόξης	1	rc://*/tw/dict/bible/kt/glory
4:4	efj8	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
4:4	ks92		εἰκὼν	1	rc://*/tw/dict/bible/other/image
4:4	pznu	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
4:5	drd7		κηρύσσομεν	1	rc://*/tw/dict/bible/other/preach
4:5	sfrx	keyterm; name	Ἰησοῦν	1	rc://*/tw/dict/bible/kt/jesus
4:5	evhp	keyterm	Χριστὸν	1	rc://*/tw/dict/bible/kt/christ
4:5	gccc	keyterm	Κύριον	1	rc://*/tw/dict/bible/kt/lord
4:5	x7yz		δούλους	1	rc://*/tw/dict/bible/other/servant
4:5	zmsa	keyterm; name	Ἰησοῦν	2	rc://*/tw/dict/bible/kt/jesus
4:6	mavk	keyterm	Θεὸς	1	rc://*/tw/dict/bible/kt/god
4:6	pcm9		σκότους	1	rc://*/tw/dict/bible/other/darkness
4:6	qccm		φῶς	1	rc://*/tw/dict/bible/other/light
4:6	g5zv	keyterm	καρδίαις	1	rc://*/tw/dict/bible/kt/heart
4:6	vceq		φωτισμὸν	1	rc://*/tw/dict/bible/other/light
4:6	r4sb		γνώσεως	1	rc://*/tw/dict/bible/other/know
4:6	uqxu	keyterm	δόξης	1	rc://*/tw/dict/bible/kt/glory
4:6	wert	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
4:6	epcs		προσώπῳ	1	rc://*/tw/dict/bible/other/face
4:6	vkbk	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
4:6	xqqz	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
4:7	yzj6		ὀστρακίνοις	1	rc://*/tw/dict/bible/other/earth
4:7	qvaj	keyterm	δυνάμεως	1	rc://*/tw/dict/bible/kt/power
4:7	ufvb	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
4:8	e7bw		θλιβόμενοι	1	rc://*/tw/dict/bible/other/afflict
4:9	af5m		διωκόμενοι	1	rc://*/tw/dict/bible/other/persecute
4:9	ap4w		ἐνκαταλειπόμενοι	1	rc://*/tw/dict/bible/other/forsaken
4:9	j2j6	keyterm	ἀπολλύμενοι	1	rc://*/tw/dict/bible/kt/perish
4:10	v95t		νέκρωσιν	1	rc://*/tw/dict/bible/other/death
4:10	jxm5	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
4:10	byve	keyterm	σώματι	1	rc://*/tw/dict/bible/kt/body
4:10	e58g	keyterm	ζωὴ	1	rc://*/tw/dict/bible/kt/life
4:10	qtqq	keyterm; name	Ἰησοῦ	2	rc://*/tw/dict/bible/kt/jesus
4:10	zshb	keyterm	σώματι	2	rc://*/tw/dict/bible/kt/body
4:10	s58e	keyterm	φανερωθῇ	1	rc://*/tw/dict/bible/kt/reveal
4:11	qcj6	keyterm	ζῶντες	1	rc://*/tw/dict/bible/kt/life
4:11	xkpw		θάνατον	1	rc://*/tw/dict/bible/other/death
4:11	xqwj	keyterm; name	Ἰησοῦν	1	rc://*/tw/dict/bible/kt/jesus
4:11	y86g	keyterm	ζωὴ	1	rc://*/tw/dict/bible/kt/life
4:11	rwap	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
